Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext;Postensperre;Diverse Adressnummer;Geschäftspartnerbank;Sachverhalt;Zinssperre;Beleglink;Beleginfo - Art 1;Beleginfo - Inhalt 1;Beleginfo - Art 2;Beleginfo - Inhalt 2;Beleginfo - Art 3;Beleginfo - Inhalt 3;Beleginfo - Art 4;Beleginfo - Inhalt 4;Beleginfo - Art 5;Beleginfo - Inhalt 5;Beleginfo - Art 6;Beleginfo - Inhalt 6;Beleginfo - Art 7;Beleginfo - Inhalt 7;Beleginfo - Art 8;Beleginfo - Inhalt 8;KOST1 - Kostenstelle;KOST2 - Kostenstelle;Kost-Menge;EU-Land u. UStID;EU-Steuersatz;Abw. Versteuerungsart;Sachverhalt L+L;Funktionsergänzung L+L;BU 49 Hauptfunktionstyp;BU 49 Hauptfunktionsnummer;BU 49 Funktionsergänzung;Zusatzinformation - Art 1;Zusatzinformation- Inhalt 1;Zusatzinformation - Art 2;Zusatzinformation- Inhalt 2;Zusatzinformation - Art 3;Zusatzinformation- Inhalt 3;Zusatzinformation - Art 4;Zusatzinformation- Inhalt 4;Zusatzinformation - Art 5;Zusatzinformation- Inhalt 5;Zusatzinformation - Art 6;Zusatzinformation- Inhalt 6;Zusatzinformation - Art 7;Zusatzinformation- Inhalt 7;Zusatzinformation - Art 8;Zusatzinformation- Inhalt 8;Zusatzinformation - Art 9;Zusatzinformation- Inhalt 9;Zusatzinformation - Art 10;Zusatzinformation- Inhalt 10;Zusatzinformation - Art 11;Zusatzinformation- Inhalt 11;Zusatzinformation - Art 12;Zusatzinformation- Inhalt 12;Zusatzinformation - Art 13;Zusatzinformation- Inhalt 13;Zusatzinformation - Art 14;Zusatzinformation- Inhalt 14;Zusatzinformation - Art 15;Zusatzinformation- Inhalt 15;Zusatzinformation - Art 16;Zusatzinformation- Inhalt 16;Zusatzinformation - Art 17;Zusatzinformation- Inhalt 17;Zusatzinformation - Art 18;Zusatzinformation- Inhalt 18;Zusatzinformation - Art 19;Zusatzinformation- Inhalt 19;Zusatzinformation - Art 20;Zusatzinformation- Inhalt 20;Stück;Gewicht;Zahlweise;Forderungsart;Veranlagungsjahr;Zugeordnete Fälligkeit;Skontotyp;Auftragsnummer;Buchungstyp;Ust-Schlüssel (Anzahlungen);EU-Land (Anzahlungen);Sachverhalt L+L (Anzahlungen);EU-Steuersatz (Anzahlungen);Erlöskonto (Anzahlungen);Herkunft-Kz;Buchungs GUID;KOST-Datum;Mandatsreferenz;Skontosperre;Gesellschaftername;Beteiligtennummer;Identifikationsnummer;Zeichnernummer;Postensperre bis;BezeichnungSoBil-Sachverhalt;KennzeichenSoBil-Buchung;Festschreibung;Leistungsdatum;Datum Zuord. Steuerperiode;Netto;Umsatzsteuer;Leistungsdatum
4760,00;"H";"";;;"";8400;10001;"";1212;"IN-19-1042";;;"";;"";;;;BEDI ""622118f5-c8f4-572a-99b3-4197f71f4fed"";"Beschreibung";"Herr Rafael Jose Aviles Escobar";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"4000,00";"Steuerbetrag";"760,00";"Leistungsdatum";"12122019";"Kundennummer";"1000";;;;"DE309604599";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20122019;;;;;;;;;;0;12122019;12122019;;;;
595,00;"H";"";;;"";8400;10008;"";1212;"IN-19-1039";;;"";;"";;;;BEDI ""33278d4f-de44-5011-9eb0-af68f388b2e5"";"Beschreibung";"Softwareschmiede Höffl GmbH";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"500,00";"Steuerbetrag";"95,00";"Leistungsdatum";"12122019";"Kundennummer";"1026";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16122019;;;;;;;;;;0;12122019;12122019;;;;
241,21;"H";"";;;"";8338;10000;"";2310;"IN-19-1038";;;"";;"";;;;BEDI ""9509f48f-f545-5aa5-bf91-a7c78adcc632"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"218,08";"Steuerbetrag";"23,00";"Leistungsdatum";"23102019 - 23102019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24102019;;;;;;;;;;0;;;;;;
23,13;"S";"";;;"";10000;8000;"";2310;"IN-19-1038";;;"";;"";;;;BEDI ""9509f48f-f545-5aa5-bf91-a7c78adcc632"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"23102019 - 23102019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24102019;;;;;;;;;;0;;;;;;
219,73;"H";"";;;"";8338;10000;"";1610;"IN-19-1037";;;"";;"";;;;BEDI ""aa9772fc-44b2-50d9-9913-6a4d196772d3"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"200,46";"Steuerbetrag";"19,00";"Leistungsdatum";"16102019 - 16102019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17102019;;;;;;;;;;0;;;;;;
19,27;"S";"";;;"";10000;8000;"";1610;"IN-19-1037";;;"";;"";;;;BEDI ""aa9772fc-44b2-50d9-9913-6a4d196772d3"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"16102019 - 16102019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17102019;;;;;;;;;;0;;;;;;
282,60;"H";"";;;"";8338;10000;"";2509;"IN-19-1035";;;"";;"";;;;BEDI ""9526b0c7-931b-585d-9c8f-125f385acf4e"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"257,72";"Steuerbetrag";"25,00";"Leistungsdatum";"25092019 - 25092019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26092019;;;;;;;;;;0;;;;;;
24,88;"S";"";;;"";10000;8000;"";2509;"IN-19-1035";;;"";;"";;;;BEDI ""9526b0c7-931b-585d-9c8f-125f385acf4e"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"25092019 - 25092019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26092019;;;;;;;;;;0;;;;;;
1904,00;"H";"";;;"";8400;10001;"";0110;"IN-19-1036";;;"";;"";;;;BEDI ""a67e52d0-ef34-5048-ba54-26c5f4f62c1a"";"Beschreibung";"Herr Rafael Jose Aviles Escobar";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"1600,00";"Steuerbetrag";"304,00";"Leistungsdatum";"01102019";"Kundennummer";"1000";;;;"DE309604599";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10102019;;;;;;;;;;0;01102019;01102019;;;;
11305,00;"H";"";;;"";8400;10009;"";0109;"IN-19-1034";;;"";;"";;;;BEDI ""27f6d395-b4bb-5b57-b258-dfc751100879"";"Beschreibung";"NEA Ventures  Consulting GmbH";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"9500,00";"Steuerbetrag";"1805,00";"Leistungsdatum";"01042019 - 30092019";"Kundennummer";"1012";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23092019;;;;;;;;;;0;;;;;;
9282,00;"H";"";;;"";8400;10010;"";1309;"IN-19-1033";;;"";;"";;;;BEDI ""a6479aa9-e9dd-539e-a17d-7b12fd94a2fe"";"Beschreibung";"Herr Fotografie Rida El Ali";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"7800,00";"Steuerbetrag";"1482,00";"Leistungsdatum";"01092019 - 30112019";"Kundennummer";"1011";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24092019;;;;;;;;;;0;;;;;;
277,25;"H";"";;;"";8338;10000;"";1109;"IN-19-1032";;;"";;"";;;;BEDI ""17080865-b877-51d8-a548-99b188399570"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"252,20";"Steuerbetrag";"25,00";"Leistungsdatum";"11092019 - 11092019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12092019;;;;;;;;;;0;;;;;;
25,05;"S";"";;;"";10000;8000;"";1109;"IN-19-1032";;;"";;"";;;;BEDI ""17080865-b877-51d8-a548-99b188399570"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"11092019 - 11092019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12092019;;;;;;;;;;0;;;;;;
179,47;"H";"";;;"";8338;10000;"";2808;"IN-19-1031";;;"";;"";;;;BEDI ""9896f1ed-63c3-5c93-833c-1ec6b9ccf5f5"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"163,07";"Steuerbetrag";"16,00";"Leistungsdatum";"28082019 - 28082019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29082019;;;;;;;;;;0;;;;;;
16,40;"S";"";;;"";10000;8000;"";2808;"IN-19-1031";;;"";;"";;;;BEDI ""9896f1ed-63c3-5c93-833c-1ec6b9ccf5f5"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"28082019 - 28082019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29082019;;;;;;;;;;0;;;;;;
370,49;"H";"";;;"";8338;10000;"";2108;"IN-19-1030";;;"";;"";;;;BEDI ""0e21abb2-ab64-5b2a-8b10-12ae8b9a5d70"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"335,10";"Steuerbetrag";"35,00";"Leistungsdatum";"21082019 - 21082019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22082019;;;;;;;;;;0;;;;;;
35,39;"S";"";;;"";10000;8000;"";2108;"IN-19-1030";;;"";;"";;;;BEDI ""0e21abb2-ab64-5b2a-8b10-12ae8b9a5d70"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"21082019 - 21082019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22082019;;;;;;;;;;0;;;;;;
231,64;"H";"";;;"";8338;10000;"";1408;"IN-19-1029";;;"";;"";;;;BEDI ""588536ba-4781-5d1b-86e1-8b5d00767226"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"208,58";"Steuerbetrag";"23,00";"Leistungsdatum";"14082019 - 14082019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15082019;;;;;;;;;;0;;;;;;
23,06;"S";"";;;"";10000;8000;"";1408;"IN-19-1029";;;"";;"";;;;BEDI ""588536ba-4781-5d1b-86e1-8b5d00767226"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"14082019 - 14082019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15082019;;;;;;;;;;0;;;;;;
222,50;"H";"";;;"";8338;10000;"";0708;"IN-19-1028";;;"";;"";;;;BEDI ""ba9b99be-5b29-5ef8-90db-8eed34d287d4"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"199,88";"Steuerbetrag";"23,00";"Leistungsdatum";"07082019 - 07082019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08082019;;;;;;;;;;0;;;;;;
22,62;"S";"";;;"";10000;8000;"";0708;"IN-19-1028";;;"";;"";;;;BEDI ""ba9b99be-5b29-5ef8-90db-8eed34d287d4"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"07082019 - 07082019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08082019;;;;;;;;;;0;;;;;;
3451,00;"H";"";;;"";8400;10001;"";0208;"IN-19-1027";;;"";;"";;;;BEDI ""bbf0ee96-c4d3-51b7-ba3f-8af75848835c"";"Beschreibung";"Herr Rafael Jose Aviles Escobar";"Umsatzsteuerprozent";"19";"Name";"";;;"Nettobetrag";"2900,00";"Steuerbetrag";"551,00";"Leistungsdatum";"02082019";"Kundennummer";"1000";;;;"DE309604599";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12082019;;;;;;;;;;0;02082019;02082019;;;;
602,43;"H";"";;;"";8338;10000;"";3107;"IN-19-1026";;;"";;"";;;;BEDI ""5ee3f0a1-5ab8-5ca2-9da0-e1487b6d44c9"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"541,03";"Steuerbetrag";"61,00";"Leistungsdatum";"31072019 - 31072019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01082019;;;;;;;;;;0;;;;;;
61,40;"S";"";;;"";10000;8000;"";3107;"IN-19-1026";;;"";;"";;;;BEDI ""5ee3f0a1-5ab8-5ca2-9da0-e1487b6d44c9"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"31072019 - 31072019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01082019;;;;;;;;;;0;;;;;;
408,96;"H";"";;;"";8338;10000;"";2407;"IN-19-1025";;;"";;"";;;;BEDI ""65eaf2a8-def5-560e-8790-1e9f991d26da"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"367,72";"Steuerbetrag";"41,00";"Leistungsdatum";"24072019 - 24072019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25072019;;;;;;;;;;0;;;;;;
41,24;"S";"";;;"";10000;8000;"";2407;"IN-19-1025";;;"";;"";;;;BEDI ""65eaf2a8-def5-560e-8790-1e9f991d26da"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"24072019 - 24072019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25072019;;;;;;;;;;0;;;;;;
452,84;"H";"";;;"";8338;10000;"";1507;"IN-19-1023";;;"";;"";;;;BEDI ""fe67ec7c-53d7-5029-8993-74a97a375abc"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"402,82";"Steuerbetrag";"50,00";"Leistungsdatum";"15072019 - 15072019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16072019;;;;;;;;;;0;;;;;;
50,02;"S";"";;;"";10000;8000;"";1507;"IN-19-1023";;;"";;"";;;;BEDI ""fe67ec7c-53d7-5029-8993-74a97a375abc"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"";"Name";"";;;"Nettobetrag";"";"Steuerbetrag";"";"Leistungsdatum";"15072019 - 15072019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16072019;;;;;;;;;;0;;;;;;
216,99;"H";"";;;"";8338;10000;"";1706;"IN-19-1022";;;"";;"";;;;BEDI ""55508833-0862-5dc2-bdd3-80d0ca31f80f"";"Beschreibung";"Peeridea Inc";"Umsatzsteuerprozent";"0";"Name";"";;;"Nettobetrag";"194,50";"Steuerbetrag";"22,00";"Leistungsdatum";"17062019 - 17062019";"Kundennummer";"1006";;;;"";;;;;;;;"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19062019;;;;;;;;;;0;;;;;;
